Designator,Mid X,Mid Y,Rotation,Layer
J1,141.2,-72.89,0.0,bottom
Q1,219.28,-108.465,0.0,top
Q10,161.48,-32.655,180.0,top
Q100,200.02,-55.005,180.0,top
Q101,200.115,-73.315,0.0,top
Q102,200.22,-97.675,0.0,top
Q103,204.78,-36.245,0.0,top
Q104,205.535,-59.275,0.0,top
Q105,205.655,-83.065,0.0,top
Q106,205.855,-107.015,0.0,top
Q107,199.135,-27.475,0.0,top
Q108,199.98,-49.745,0.0,top
Q109,200.135,-78.565,180.0,top
Q11,167.17,-27.365,0.0,top
Q110,200.22,-103.015,180.0,top
Q111,204.73,-41.635,180.0,top
Q112,205.515,-64.595,180.0,top
Q113,205.675,-88.455,180.0,top
Q114,205.815,-112.405,180.0,top
Q115,204.74,-26.835,0.0,top
Q116,205.54,-49.545,0.0,top
Q117,205.615,-73.405,0.0,top
Q118,205.76,-97.625,0.0,top
Q119,204.76,-31.995,180.0,top
Q12,167.13,-32.635,180.0,top
Q120,205.52,-54.865,180.0,top
Q121,205.635,-78.815,180.0,top
Q122,205.72,-102.765,180.0,top
Q123,210.26,-25.745,180.0,top
Q124,211.095,-48.595,180.0,top
Q125,211.155,-72.295,180.0,top
Q126,211.22,-96.265,180.0,top
Q127,210.355,-38.845,180.0,top
Q128,211.02,-58.975,180.0,top
Q129,211.195,-79.865,0.0,top
Q13,172.77,-20.885,0.0,top
Q130,211.49,-104.765,0.0,top
Q131,210.33,-20.465,0.0,top
Q132,211.095,-43.205,0.0,top
Q133,211.155,-66.955,0.0,top
Q134,211.28,-91.015,0.0,top
Q135,210.425,-33.475,0.0,top
Q136,211.02,-53.705,0.0,top
Q137,211.155,-85.205,180.0,top
Q138,211.47,-110.015,180.0,top
Q139,216.03,-32.135,180.0,top
Q14,172.73,-26.155,180.0,top
Q140,216.65,-53.115,180.0,top
Q141,216.675,-78.565,180.0,top
Q142,217.01,-103.265,180.0,top
Q143,216.1,-26.765,0.0,top
Q144,216.69,-47.845,0.0,top
Q145,216.675,-73.335,0.0,top
Q146,216.74,-97.855,0.0,top
Q149,150.625,-58.85,0.0,top
Q15,172.825,-33.345,0.0,top
Q150,163.025,-85.025,0.0,top
Q151,151.605,-107.14,0.0,top
Q152,199.18,-38.59,0.0,top
Q153,185.9,-62.885,0.0,top
Q154,200.005,-85.865,0.0,top
Q155,200.345,-109.365,0.0,top
Q156,142.025,-22.41,0.0,top
Q157,142.0,-27.775,180.0,top
Q16,172.805,-38.635,180.0,top
Q17,178.5,-27.345,0.0,top
Q18,178.5,-32.615,180.0,top
Q19,167.23,-36.865,0.0,top
Q2,161.68,-39.64,0.0,top
Q20,167.23,-42.175,180.0,top
Q21,150.68,-49.275,0.0,top
Q22,150.66,-54.545,180.0,top
Q23,156.18,-42.775,0.0,top
Q24,156.22,-56.235,0.0,top
Q25,156.2,-48.025,180.0,top
Q26,156.2,-61.505,180.0,top
Q27,161.74,-49.525,0.0,top
Q28,167.205,-58.925,0.0,top
Q29,161.7,-54.795,180.0,top
Q3,150.52,-28.075,0.0,top
Q30,167.205,-64.195,180.0,top
Q31,167.24,-49.335,0.0,top
Q32,167.22,-54.625,180.0,top
Q33,172.74,-42.985,0.0,top
Q34,172.775,-56.465,0.0,top
Q35,172.74,-48.235,180.0,top
Q36,172.775,-61.735,180.0,top
Q37,178.24,-49.715,0.0,top
Q38,178.24,-54.985,180.0,top
Q39,151.95,-72.645,0.0,top
Q4,150.52,-33.385,180.0,top
Q40,151.91,-77.955,180.0,top
Q41,157.49,-65.805,0.0,top
Q42,157.49,-79.925,0.0,top
Q43,157.49,-71.195,180.0,top
Q44,157.49,-85.195,180.0,top
Q45,162.99,-72.805,0.0,top
Q46,168.57,-82.365,0.0,top
Q47,162.99,-78.195,180.0,top
Q48,168.59,-87.665,180.0,top
Q49,168.53,-72.885,0.0,top
Q5,155.98,-21.005,0.0,top
Q50,168.51,-78.175,180.0,top
Q51,173.99,-66.395,0.0,top
