Designator,Mid X,Mid Y,Rotation,Layer
J1,49.925,-130.675,0.0,bottom
Q1,60.38,-109.125,0.0,top
Q10,60.725,-152.915,180.0,top
Q11,65.955,-137.16,270.0,top
Q12,66.12,-150.455,270.0,top
Q13,74.35,-109.945,0.0,top
Q14,74.325,-115.315,180.0,top
Q15,74.42,-121.675,0.0,top
Q16,74.4,-126.99,180.0,top
Q17,74.25,-134.37,0.0,top
Q18,74.275,-139.665,180.0,top
Q19,74.825,-147.895,0.0,top
Q2,60.425,-114.415,180.0,top
Q20,74.8,-153.215,180.0,top
Q21,79.77,-112.83,270.0,top
Q22,79.835,-124.905,270.0,top
Q23,79.72,-137.28,270.0,top
Q24,80.205,-150.41,270.0,top
Q3,65.91,-112.38,270.0,top
Q4,60.52,-122.065,0.0,top
Q5,60.515,-127.415,180.0,top
Q6,65.945,-125.275,270.0,top
Q7,60.53,-134.44,0.0,top
Q8,60.55,-139.765,180.0,top
Q9,60.73,-147.61,0.0,top
R1,57.975,-108.125,180.0,bottom
R10,67.735,-123.605,0.0,bottom
R11,58.17,-133.505,180.0,bottom
R12,58.195,-140.755,180.0,bottom
R13,58.445,-146.705,180.0,bottom
R14,58.37,-153.78,180.0,bottom
R15,59.92,-137.18,180.0,bottom
R16,59.695,-150.23,180.0,bottom
R17,63.17,-137.155,180.0,bottom
R18,62.87,-150.255,180.0,bottom
R19,67.77,-135.53,0.0,bottom
R2,58.15,-115.375,180.0,bottom
R20,67.87,-148.905,0.0,bottom
R21,72.02,-108.98,180.0,bottom
R22,71.97,-116.305,180.0,bottom
R23,72.195,-120.755,180.0,bottom
R24,72.07,-127.98,180.0,bottom
R25,71.895,-133.33,180.0,bottom
R26,72.02,-140.655,180.0,bottom
R27,72.445,-146.905,180.0,bottom
R28,72.57,-154.155,180.0,bottom
R29,73.445,-112.655,180.0,bottom
R3,59.825,-111.775,180.0,bottom
R30,73.295,-124.655,180.0,bottom
R31,73.52,-137.105,180.0,bottom
R32,73.82,-150.605,180.0,bottom
R33,76.595,-112.68,180.0,bottom
R34,76.395,-124.655,180.0,bottom
R35,76.57,-137.105,180.0,bottom
R36,76.845,-150.63,180.0,bottom
R37,81.595,-111.205,0.0,bottom
R38,81.67,-123.28,0.0,bottom
R39,81.57,-135.705,0.0,bottom
R4,62.9,-111.8,180.0,bottom
R40,82.02,-148.78,0.0,bottom
R5,67.725,-110.725,0.0,bottom
R6,58.21,-121.105,180.0,bottom
R7,58.185,-128.355,180.0,bottom
R8,59.685,-124.78,180.0,bottom
R9,62.885,-124.78,180.0,bottom
