Designator,Mid X,Mid Y,Rotation,Layer
J1,143.445,-77.56,0.0,bottom
Q1,155.99,-64.715,0.0,top
Q2,156.02,-74.115,0.0,top
Q3,156.14,-83.195,0.0,top
Q4,156.365,-91.115,0.0,top
Q5,166.725,-64.425,0.0,top
Q6,166.675,-73.975,0.0,top
Q7,166.795,-82.775,0.0,top
Q8,166.905,-91.045,0.0,top
R1,153.745,-63.84,180.0,bottom
R10,164.63,-66.67,180.0,bottom
R11,164.33,-73.01,180.0,bottom
R12,164.54,-76.23,180.0,bottom
R13,164.54,-81.78,180.0,bottom
R14,164.605,-85.05,180.0,bottom
R15,164.47,-90.1,180.0,bottom
R16,164.645,-93.25,180.0,bottom
R2,153.95,-66.94,180.0,bottom
R3,153.685,-73.14,180.0,bottom
R4,153.785,-76.38,180.0,bottom
R5,153.805,-82.21,180.0,bottom
R6,153.82,-85.45,180.0,bottom
R7,154.045,-90.11,180.0,bottom
R8,154.115,-93.35,180.0,bottom
R9,164.31,-63.39,180.0,bottom
