Designator,Mid X,Mid Y,Rotation,Layer
J1,65.425,-52.5,0.0,bottom
Q1,76.155,-28.79,0.0,top
Q10,76.475,-47.84,180.0,top
Q11,81.97,-42.515,0.0,top
Q12,81.955,-47.835,180.0,top
Q13,87.47,-42.49,0.0,top
Q14,87.5,-47.86,180.0,top
Q15,92.97,-42.49,0.0,top
Q16,92.98,-47.875,180.0,top
Q17,76.49,-57.115,0.0,top
Q18,76.525,-62.465,180.0,top
Q19,81.995,-57.115,0.0,top
Q2,76.155,-34.11,180.0,top
Q20,82.005,-62.485,180.0,top
Q21,87.475,-57.135,0.0,top
Q22,87.495,-62.505,180.0,top
Q23,92.97,-57.09,0.0,top
Q24,93.04,-62.505,180.0,top
Q25,77.35,-70.975,0.0,top
Q26,77.4,-76.31,180.0,top
Q27,82.87,-70.965,0.0,top
Q28,82.875,-76.275,180.0,top
Q29,88.4,-70.99,0.0,top
Q3,81.63,-28.795,0.0,top
Q30,88.405,-76.3,180.0,top
Q31,93.895,-70.99,0.0,top
Q32,93.9,-76.3,180.0,top
Q33,107.175,-28.025,0.0,top
Q34,107.175,-33.425,180.0,top
Q35,112.655,-28.01,0.0,top
Q36,112.655,-33.41,180.0,top
Q37,118.13,-28.03,0.0,top
Q38,118.13,-33.43,180.0,top
Q39,123.65,-28.045,0.0,top
Q4,81.63,-34.11,180.0,top
Q40,123.65,-33.445,180.0,top
Q41,107.425,-42.195,0.0,top
Q42,107.435,-47.51,180.0,top
Q43,112.92,-42.195,0.0,top
Q44,112.93,-47.51,180.0,top
Q45,118.43,-42.17,0.0,top
Q46,118.44,-47.485,180.0,top
Q47,123.95,-42.13,0.0,top
Q48,123.96,-47.445,180.0,top
Q49,107.71,-56.585,0.0,top
Q5,87.13,-28.8,0.0,top
Q50,107.675,-61.945,180.0,top
Q51,113.17,-56.56,0.0,top
Q52,113.19,-61.91,180.0,top
Q53,118.75,-56.655,0.0,top
Q54,118.675,-61.945,180.0,top
Q55,124.3,-56.66,0.0,top
Q56,124.275,-61.97,180.0,top
Q57,107.75,-71.25,0.0,top
Q58,107.795,-76.675,180.0,top
Q59,113.25,-71.275,0.0,top
Q6,87.105,-34.135,180.0,top
Q60,113.275,-76.64,180.0,top
Q61,118.72,-71.28,0.0,top
Q62,118.745,-76.675,180.0,top
Q63,124.3,-71.4,0.0,top
Q64,124.225,-76.69,180.0,top
Q7,92.6,-28.8,0.0,top
Q8,92.6,-34.13,180.0,top
Q9,76.47,-42.5,0.0,top
R1,73.825,-27.8,180.0,bottom
R10,92.82,-31.52,180.0,bottom
R11,74.275,-41.625,180.0,bottom
R12,74.25,-48.65,180.0,bottom
R13,76.55,-45.3,180.0,bottom
R14,79.85,-41.575,180.0,bottom
R15,79.775,-48.65,180.0,bottom
R16,85.125,-41.57,180.0,bottom
R17,85.175,-48.745,180.0,bottom
R18,82.075,-45.375,180.0,bottom
R19,87.675,-45.32,180.0,bottom
R2,73.85,-35.05,180.0,bottom
R20,93.15,-45.19,180.0,bottom
R21,74.27,-56.405,180.0,bottom
R22,74.27,-63.455,180.0,bottom
R23,76.645,-59.88,180.0,bottom
R24,79.85,-56.175,180.0,bottom
R25,79.75,-63.4,180.0,bottom
R26,85.215,-56.145,180.0,bottom
R27,85.34,-63.42,180.0,bottom
R28,82.175,-59.8,180.0,bottom
R29,87.79,-59.97,180.0,bottom
R3,75.975,-31.475,180.0,bottom
R30,93.16,-60.045,180.0,bottom
R31,75.15,-70.02,180.0,bottom
R32,74.975,-77.245,180.0,bottom
R33,77.5,-73.745,180.0,bottom
R34,80.595,-69.98,180.0,bottom
R35,80.545,-77.28,180.0,bottom
R36,86.125,-70.075,180.0,bottom
R37,86.15,-77.15,180.0,bottom
R38,83.17,-73.63,180.0,bottom
R39,88.6,-73.6,180.0,bottom
R4,79.275,-27.8,180.0,bottom
R40,94.0,-73.61,180.0,bottom
R41,104.945,-27.215,180.0,bottom
R42,104.945,-34.34,180.0,bottom
R43,107.195,-30.79,180.0,bottom
R44,110.375,-27.07,180.0,bottom
R45,110.4,-34.195,180.0,bottom
R46,116.0,-27.085,180.0,bottom
R47,115.95,-34.285,180.0,bottom
R48,112.825,-30.72,180.0,bottom
R49,118.225,-30.71,180.0,bottom
R5,79.4,-35.075,180.0,bottom
R50,123.77,-30.92,180.0,bottom
R51,105.18,-41.285,180.0,bottom
R52,105.155,-48.41,180.0,bottom
R53,107.505,-44.91,180.0,bottom
R54,110.7,-41.23,180.0,bottom
R55,110.525,-48.455,180.0,bottom
R56,116.185,-41.275,180.0,bottom
R57,116.16,-48.225,180.0,bottom
R58,113.225,-44.88,180.0,bottom
R59,118.56,-44.825,180.0,bottom
R6,81.875,-31.525,180.0,bottom
R60,124.055,-44.905,180.0,bottom
R61,105.57,-55.66,180.0,bottom
R62,105.37,-62.71,180.0,bottom
R63,107.845,-59.31,180.0,bottom
R64,110.915,-55.52,180.0,bottom
R65,110.765,-62.92,180.0,bottom
R66,116.62,-55.81,180.0,bottom
R67,116.37,-62.735,180.0,bottom
R68,113.265,-59.295,180.0,bottom
R69,118.92,-59.41,180.0,bottom
R7,84.875,-27.825,180.0,bottom
R70,124.02,-59.385,180.0,bottom
R71,105.495,-70.335,180.0,bottom
R72,105.47,-77.535,180.0,bottom
R73,107.62,-74.16,180.0,bottom
R74,110.995,-70.405,180.0,bottom
R75,110.895,-77.53,180.0,bottom
R76,116.37,-70.31,180.0,bottom
R77,116.345,-77.41,180.0,bottom
R78,113.32,-74.055,180.0,bottom
R79,118.945,-74.01,180.0,bottom
R8,84.875,-35.05,180.0,bottom
R80,124.2,-74.025,180.0,bottom
R81,90.345,-35.045,180.0,bottom
R82,90.22,-27.82,180.0,bottom
R83,90.8,-41.515,180.0,bottom
R84,90.675,-48.665,180.0,bottom
R85,90.71,-56.17,180.0,bottom
R86,90.735,-63.37,180.0,bottom
R87,91.825,-70.185,180.0,bottom
R88,91.9,-77.085,180.0,bottom
R89,121.47,-27.045,180.0,bottom
R9,87.2,-31.575,180.0,bottom
R90,121.37,-34.245,180.0,bottom
R91,121.805,-41.28,180.0,bottom
R92,121.68,-48.38,180.0,bottom
R93,121.995,-55.685,180.0,bottom
R94,122.07,-62.86,180.0,bottom
R95,122.0,-70.45,180.0,bottom
R96,121.875,-77.55,180.0,bottom
